empresa,sigla,anio,mes,fecha,idpozo,prod_pet(m3/mes),prod_pet(m3/d),prod_pet(bbl/d),prod_gas(Mm3/mes),prod_gas(m3/d),prod_gas(BOE/d),prod_agua(m3/mes),prod_agua(m3/d),prod_agua(bbl/d),total_prod_fluidos(boe/d),tipoextraccion,tipopozo,profundidad,formacion,areayacimiento,provincia,coordenadax,coordenaday
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2022h,2020,9,2020-09-01,161873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Petrolífero,4567.0,vaca muerta,EL TRAPIAL,Neuquén,-69.40423,-37.47911
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2022h,2020,10,2020-10-01,161873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Petrolífero,4567.0,vaca muerta,EL TRAPIAL,Neuquén,-69.40423,-37.47911
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2022h,2020,11,2020-11-01,161873,510.81,16.747868852459018,105.34091298688526,171.33333,5617.486229508197,33.044036644165864,2785.49,91.32754098360655,574.4328805540983,712.8178301851495,Sin Sistema de Extracción,Petrolífero,4567.0,vaca muerta,EL TRAPIAL,Neuquén,-69.40423,-37.47911
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2022h,2020,12,2020-12-01,161873,2103.77,68.9760655737705,433.84634700655744,760.2952,24927.711475409837,146.6335969141755,5691.57,186.6088524590164,1173.734226285246,1754.214170205979,Sin Sistema de Extracción,Petrolífero,4567.0,vaca muerta,EL TRAPIAL,Neuquén,-69.40423,-37.47911
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2022h,2021,1,2021-01-01,161873,2449.32,80.3055737704918,505.10680095737706,894.51119,29328.23573770492,172.5190337512054,4663.49,152.90131147540984,961.7201979311476,1639.34603263973,Sin Sistema de Extracción,Petrolífero,4567.0,vaca muerta,EL TRAPIAL,Neuquén,-69.40423,-37.47911
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2022h,2021,2,2021-02-01,161873,2642.06,86.62491803278688,544.8542756918033,978.80768,32092.055081967213,188.77679459980715,4163.07,136.49409836065573,858.521944809836,1592.1530151014463,Sin Sistema de Extracción,Petrolífero,4567.0,vaca muerta,EL TRAPIAL,Neuquén,-69.40423,-37.47911
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2022h,2021,3,2021-03-01,161873,3132.6,102.70819672131147,646.0150428196721,1221.20412,40039.4793442623,235.52634908389587,4237.45,138.9327868852459,873.8608322786885,1755.4022241822565,Sin Sistema de Extracción,Petrolífero,4567.0,vaca muerta,EL TRAPIAL,Neuquén,-69.40423,-37.47911
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2022h,2021,4,2021-04-01,161873,3716.02,121.83672131147542,766.3298280721312,1499.7468,49172.02622950819,289.24721311475406,4117.21,134.9904918032787,849.0645452491805,1904.6415864360658,Sin Sistema de Extracción,Petrolífero,4567.0,vaca muerta,EL TRAPIAL,Neuquén,-69.40423,-37.47911
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2022h,2021,5,2021-05-01,161873,3674.0,120.45901639344262,757.6643259016394,1525.84381,50027.665901639346,294.28038765670203,3901.69,127.92426229508197,804.6193042262296,1856.564017784571,Sin Sistema de Extracción,Petrolífero,4567.0,vaca muerta,EL TRAPIAL,Neuquén,-69.40423,-37.47911
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2022h,2021,6,2021-06-01,161873,3178.89,104.22590163934426,655.5611183901639,1443.47051,47326.90196721312,278.39354098360656,3174.49,104.08163934426229,654.6537359639344,1588.608395337705,Sin Sistema de Extracción,Petrolífero,4567.0,vaca muerta,EL TRAPIAL,Neuquén,-69.40423,-37.47911
