empresa,sigla,anio,mes,fecha,idpozo,prod_pet(m3/mes),prod_pet(m3/d),prod_pet(bbl/d),prod_gas(Mm3/mes),prod_gas(m3/d),prod_gas(BOE/d),prod_agua(m3/mes),prod_agua(m3/d),prod_agua(bbl/d),total_prod_fluidos(boe/d),tipoextraccion,tipopozo,profundidad,formacion,areayacimiento,provincia,coordenadax,coordenaday
YPF S.A.,YPF.Nq.LLL-2020(h),2025,5,2025-05-01,166570,70.86,2.32327868852459,14.612981527868852,6.05,198.36065573770492,1.166827386692382,337.74,11.07344262295082,69.6498501442623,85.42965905882353,Surgencia Natural,Petrolífero,6730.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.57026978,-38.44819604
YPF S.A.,YPF.Nq.LLL-2020(h),2025,6,2025-06-01,166570,4642.03,152.19770491803277,957.2946463704917,391.93,12850.16393442623,75.58919961427193,1714.24,56.20459016393443,353.5161932590164,1386.4000392437802,Surgencia Natural,Petrolífero,6730.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.57026978,-38.44819604
YPF S.A.,YPF.Nq.LLL-2020(h),2025,7,2025-07-01,166570,8667.84,284.1914754098361,1787.510383947541,914.27,29976.06557377049,176.3297974927676,1395.86,45.76590163934426,287.8588257901639,2251.6990072304725,Surgencia Natural,Petrolífero,6730.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.57026978,-38.44819604
YPF S.A.,YPF.Nq.LLL-2020(h),2025,8,2025-08-01,166570,8225.11,269.67573770491805,1696.2091517737706,1035.79,33960.32786885246,199.76663452266152,810.95,26.588524590163935,167.23676785245902,2063.2125541488913,Surgencia Natural,Petrolífero,6730.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.57026978,-38.44819604
YPF S.A.,YPF.Nq.LLL-2020(h),2025,9,2025-09-01,166570,6596.0,216.2622950819672,1360.2487462295082,181.23,5941.9672131147545,34.95274831243973,210.75,6.909836065573771,43.46155598360656,1438.6630505255546,Surgencia Natural,Petrolífero,6730.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.57026978,-38.44819604
YPF S.A.,YPF.Nq.LLL-2020(h),2025,10,2025-10-01,166570,6114.67,200.48098360655737,1260.9872954983607,583.97,19146.55737704918,112.6268081002893,205.45,6.7360655737704915,42.36857260655738,1415.9826762052073,Surgencia Natural,Petrolífero,6730.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.57026978,-38.44819604
YPF S.A.,YPF.Nq.LLL-2020(h),2025,11,2025-11-01,166570,5267.95,172.71967213114755,1086.3739209672133,463.3,15190.16393442623,89.35390549662488,433.36,14.208524590163934,89.36892005245902,1265.0967465162973,Surgencia Natural,Petrolífero,6730.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.57026978,-38.44819604
YPF S.A.,YPF.Nq.LLL-2020(h),2025,12,2025-12-01,166570,3850.6,126.24918032786886,794.0833569180328,355.01,11639.672131147541,68.46865959498554,349.8,11.468852459016393,72.1369028852459,934.6889193982643,Surgencia Natural,Petrolífero,6730.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.57026978,-38.44819604
YPF S.A.,YPF.Nq.LLL-2020(h),2026,1,2026-01-01,166570,3485.74,114.28655737704918,718.8407314557377,265.0,8688.524590163934,51.1089681774349,270.1,8.855737704918033,55.70090757377049,825.650607206943,Surgencia Natural,Petrolífero,6730.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.57026978,-38.44819604
YPF S.A.,YPF.Nq.LLL-2020(h),2026,2,2026-02-01,166570,2958.82,97.0104918032787,610.1775614491804,331.88,10881.311475409837,64.00771456123434,272.19,8.924262295081967,56.131914226229505,730.3171902366443,Surgencia Natural,Petrolífero,6730.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.57026978,-38.44819604
YPF S.A.,YPF.Nq.LLL-1728(h),2022,12,2022-12-01,163852,1738.27,56.99245901639344,358.4717386459016,343.33,11256.72131147541,66.21600771456124,2796.68,91.6944262295082,576.740519042623,1001.4282654030858,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2023,1,2023-01-01,163852,4001.23,131.18786885245902,825.1467693868852,735.85,24126.22950819672,141.91899710703953,2690.65,88.21803278688525,554.8746648032787,1521.9404312972035,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2023,2,2023-02-01,163852,1986.43,65.1288524590164,409.64810748524593,450.55,14772.131147540984,86.89488910318225,996.26,32.66426229508197,205.45200362622953,701.9950002146577,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2023,3,2023-03-01,163852,3579.69,117.36688524590164,738.2154084885246,749.02,24558.032786885247,144.45901639344262,1219.6,39.98688524590164,251.5099106885246,1134.1843355704918,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2023,4,2023-04-01,163852,4172.75,136.81147540983608,860.5181861475411,702.26,23024.918032786885,135.44069431051108,1265.04,41.47672131147541,260.88069647213115,1256.8395769301835,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2023,5,2023-05-01,163852,5118.4,167.81639344262294,1055.5332296393442,900.4,29521.311475409835,173.65477338476373,1763.56,57.821639344262294,363.68712536393446,1592.8751283880424,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2023,6,2023-06-01,163852,4212.52,138.1154098360656,868.7196859409837,778.83,25535.409836065573,150.2082931533269,826.3,27.091803278688523,170.40229518032785,1189.3302742746384,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2023,7,2023-07-01,163852,4205.02,137.8695081967213,867.1730113508197,692.03,22689.508196721312,133.46769527483124,378.15,12.398360655737704,77.98333283606557,1078.6240394617164,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2023,8,2023-08-01,163852,3691.23,121.0239344262295,761.2175529934426,587.22,19253.114754098362,113.2536162005786,487.28,15.97639344262295,100.48847923934426,974.9596484333654,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2023,9,2023-09-01,163852,3450.27,113.12360655737704,711.5259917606558,605.39,19848.852459016394,116.7579556412729,434.73,14.25344262295082,89.65144594426229,917.935393346191,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2023,10,2023-10-01,163852,3359.0,110.1311475409836,692.7039931147541,580.87,19044.918032786885,112.02892960462874,356.86,11.70032786885246,73.59283923278689,878.3257619521697,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2023,11,2023-11-01,163852,3321.44,108.89967213114754,684.9582467672132,564.72,18515.409836065573,108.91417550626808,263.59,8.642295081967212,54.35839402950819,848.2308163029894,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2023,12,2023-12-01,163852,3233.74,106.02426229508195,666.8724652262295,534.75,17532.786885245903,103.13404050144649,287.61,9.42983606557377,59.311877183606555,829.3183829112826,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2024,1,2024-01-01,163852,2907.2,95.31803278688524,599.5323158032787,601.48,19720.655737704918,116.00385728061717,247.02,8.099016393442623,50.941274301639346,766.4774473855352,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2024,2,2024-02-01,163852,2601.23,85.28622950819673,536.4341792229509,574.97,18851.475409836065,110.89103182256508,170.18,5.579672131147541,35.09507756721312,682.4202886127291,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2024,3,2024-03-01,163852,3178.9,104.22622950819672,655.5631806229509,878.65,28808.196721311477,169.45998071359693,155.42,5.095737704918032,32.05122197377049,857.0743833103182,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2024,4,2024-04-01,163852,2873.58,94.21573770491803,592.5990891737705,660.25,21647.54098360656,127.33847637415623,130.82,4.289180327868852,26.978129318032785,746.9156948659595,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2024,5,2024-05-01,163852,2578.18,84.53049180327868,531.6807326491803,539.71,17695.409836065573,104.09064609450337,112.67,3.6940983606557376,23.235176809836066,659.0065555535198,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2024,6,2024-06-01,163852,2057.62,67.46295081967213,424.329142695082,373.54,12247.213114754099,72.04243008678881,147.03,4.820655737704918,30.32100866557377,526.6925814474446,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2024,7,2024-07-01,163852,2584.41,84.73475409836065,532.9655036754099,495.11,16233.11475409836,95.48891031822565,203.39,6.668524590163934,41.94375265245902,670.3981666460945,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2024,8,2024-08-01,163852,2300.77,75.43508196721311,474.4723329081967,449.76,14746.22950819672,86.74252651880424,128.58,4.215737704918033,26.516189173770496,587.7310486007714,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2024,9,2024-09-01,163852,2053.96,67.34295081967213,423.57436549508196,513.14,16824.262295081968,98.9662487945998,107.6,3.527868852459016,22.189624786885243,544.730239076567,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2024,10,2024-10-01,163852,1809.66,59.33311475409836,373.1940185114754,552.49,18114.426229508197,106.55544840887175,254.78,8.35344262295082,52.54156694426229,532.2910338646094,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2024,11,2024-11-01,163852,1802.12,59.08590163934426,371.6390949901639,531.48,17425.573770491803,102.50337512054001,324.94,10.653770491803279,67.01019217704918,541.1526622877532,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2024,12,2024-12-01,163852,1839.83,60.32229508196721,379.4157748295082,569.84,18683.27868852459,109.9016393442623,256.33,8.404262295081967,52.86121302622951,542.1786272,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2025,1,2025-01-01,163852,1863.89,61.11114754098361,384.3775069147541,531.01,17410.16393442623,102.41272902603664,240.91,7.898688524590164,49.681250068852464,536.4714860096433,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2025,2,2025-02-01,163852,1706.45,55.94918032786885,351.90971391803276,393.61,12905.245901639344,75.91321118611378,205.88,6.750163934426229,42.45724861639344,470.28017372054,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2025,3,2025-03-01,163852,2065.07,67.7072131147541,425.86550612131145,56.28,1845.2459016393443,10.854387656702025,224.27,7.353114754098361,46.249694711475414,482.9695884894889,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2025,4,2025-04-01,163852,1777.99,58.294754098360656,366.66292727540986,567.88,18619.016393442624,109.52362584378014,165.15,5.414754098360656,34.057774475409836,510.2443275945998,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2025,5,2025-05-01,163852,1200.52,39.361311475409835,247.57517053114753,217.89,7143.934426229508,42.02314368370299,41.59,1.3636065573770493,8.576826160655738,298.17514037550626,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2025,6,2025-06-01,163852,1191.18,39.05508196721312,245.64904510819676,201.17,6595.737704918033,38.798457087753135,73.2,2.4,15.095544,299.5430461959499,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2025,7,2025-07-01,163852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2025,8,2025-08-01,163852,2119.09,69.4783606557377,437.00568763606555,587.02,19246.55737704918,113.21504339440693,40.12,1.3154098360655737,8.273677940983607,558.4944089714561,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2025,9,2025-09-01,163852,1905.22,62.46622950819672,392.9007150229508,652.92,21407.213114754097,125.92478302796528,17.39,0.5701639344262295,3.5862228163934424,522.4117208673096,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2025,10,2025-10-01,163852,1843.31,60.43639344262295,380.13343183934427,555.6,18216.39344262295,107.15525554484088,19.27,0.6318032786885246,3.973922580327869,491.26260996451305,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2025,11,2025-11-01,163852,2342.89,76.81606557377049,483.1584574065574,664.9,21800.0,128.23529411764707,77.36,2.5363934426229506,15.953432839344261,627.3471843635486,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2025,12,2025-12-01,163852,2113.8,69.30491803278689,435.9147664918033,447.67,14677.704918032787,86.33944069431051,112.57,3.6908196721311475,23.214554481967212,545.468761668081,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2026,1,2026-01-01,163852,2008.35,65.84754098360655,414.1685217540983,402.95,13211.475409836066,77.7145612343298,112.49,3.688196721311475,23.19805661967213,515.0811396081002,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
YPF S.A.,YPF.Nq.LLL-1728(h),2026,2,2026-02-01,163852,1042.37,34.17606557377049,214.96095900655735,245.58,8051.803278688524,47.36354869816779,63.06,2.0675409836065572,13.00443995409836,275.3289476588235,Surgencia Natural,Petrolífero,6186.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.69143638,-38.34996855
